LPC_NAME,lat,long
105 Franklin Avenue House,40.64297291305223,-74.09159371662737
Decker Farmhouse,40.58279658402521,-74.15361159270519
Public School 15 (Daniel D. Tompkins School),40.63363933171909,-74.07824378164206
121 Heberton Avenue House,40.637096658638825,-74.13080449968014
Reverend David Moore House,40.5731956932594,-74.138696953818
752 Delafield Avenue,40.62882092065793,-74.12348766849543
Mary and David Burgher House,40.63138560343581,-74.07835240248332
Staten Island Borough Hall,40.642154703166135,-74.07581789758407
Nathaniel J. and Ann C. Wyeth House,40.57856654556651,-74.13345941709541
22 Pendleton Place House,40.64165413178955,-74.09251744115114
364 Van Duzer Street House,40.629344434380926,-74.07962825976044
Staten Island Family Courthouse,40.64501315711838,-74.07777173681684
John DeGroot House,40.638775591522204,-74.12176758279486
Saint Andrew's Church,40.573018808116196,-74.14691820320833
Stephen D. Barnes House,40.636572275202816,-74.15614897161662
66 Harvard Avenue House,40.64179729986695,-74.09035225809006
John King Vanderbilt House,40.61757037364111,-74.10368765778395
"New Dorp Light, Expanded Site",40.58073200369928,-74.11978606600516
390 Van Duzer Street House,40.62881510540803,-74.08042250499655
"411 Westervelt Avenue House, Horton's Row",40.63815099862874,-74.08152914483438
H. H. Richardson House,40.59934816653254,-74.0636084427499
August and Augusta Schoverling House,40.639638286964804,-74.08221270950206
Julia Gardiner Tyler House,40.62359760455082,-74.11218961928809
Saint John's Church,40.61142979441011,-74.06370200163127
29 Cottage Place House,40.636308332385845,-74.13031958701595
Gustave A. Mayer House,40.575841934429945,-74.12096937549934
"Reformed Church on Staten Island, Sunday School Building, and Cemetery",40.63973041235266,-74.13284352745997
Cornelius Cruser House,40.64371801658205,-74.11217005648963
1 Pendleton Place House,40.64149333380175,-74.09226912713035
"417 Westervelt Avenue House, Horton's Row",40.637968097937026,-74.08170768453353
"William and Catherine Cass House, The Crimson Beech",40.574994698716196,-74.14232519642484
Tysen-Neville House,40.64448649095171,-74.09912261231365
"413 Westervelt Avenue House, Horton's Row",40.638096663369815,-74.08154325111923
Vanderzee-Harper House,40.64014027135301,-74.08168075235942
Mark W. Allen House,40.62530700200666,-74.11794839893898
"415 Westervelt Avenue House, Horton's Row",40.638041786071966,-74.08155750424513
Richmond County Courthouse,40.642945912294124,-74.07627550219671
Garibaldi-Meucci Museum,40.61521522352336,-74.07375771272197
Gillett-Tyler House,40.59825802605142,-74.10562404594855
Peter Housman House,40.616011087934254,-74.13570195011681
Caleb T. Ward Mansion,40.63241510328612,-74.08127508638897
Stephens-Prier House,40.57185147013594,-74.14388895618205
"New York Public Library, Port Richmond Branch",40.63757630447921,-74.13107805623466
Rutan Journeay House,40.50840488835613,-74.25016074694386
Kreischerville Workers' Houses,40.534425545150526,-74.23920420614003
