SCEN_LM_NA,Latitude,Longitude
Bryant Park,40.754043738496094,-73.9842691334626
Central Park,40.78075591920776,-73.96744715565232
Eastern Parkway,40.67126986232112,-73.9578108196246
Grand Army Plaza,40.764401282120446,-73.97336693457402
Ocean Parkway,40.610762227111614,-73.9690370869771
Verdi Square,40.77907747393662,-73.98154606278716
Riverside Park and Riverside Drive,40.79912896592145,-73.97272222797342
Morningside Park,40.80708536880891,-73.95820822079136
Prospect Park,40.66127338484187,-73.9698869576127
Fort Tryon Park,40.86277954520265,-73.93140144833204
Coney Island (Riegelman) Boardwalk,40.57315384226274,-73.97963236702482
