school_name,Latitude,Longitude
Orchard Collegiate Academy,40.713684,-73.986336
University Neighborhood High School,40.712399,-73.984497
East Side Community School,40.729589,-73.982555
Forsyth Satellite Academy,40.72252,-73.990728
"New Explorations into Science, Technology and Math High School (NEST+m)",40.718895,-73.979308
Bard High School Early College,40.719029,-73.975891
47 The American Sign Language and English Secondary School,40.738548,-73.982455
"Urban Assembly School for Emergency Management, The",40.711442,-74.000851
Stephen T. Mather Building Arts & Craftsmanship High School,40.76337,-73.9906
"Clinton School, The",40.736518,-73.992725
Manhattan Early College School for Advertising,40.711442,-74.000851
Urban Assembly Maker Academy,40.711442,-74.000851
Food and Finance High School,40.76525,-73.993105
Essex Street Academy,40.717349,-73.989596
High School of Hospitality Management,40.76525,-73.993105
Pace High School,40.716553,-73.993092
"Urban Assembly School of Design and Construction, The",40.76525,-73.993105
"Facing History School, The",40.76525,-73.993105
"Urban Assembly Academy of Government and Law, The",40.717349,-73.989596
Lower Manhattan Arts Academy,40.717349,-73.989596
"James Baldwin School, The",40.742867,-74.002136
"Urban Assembly School of Business for Young Women, The",40.70568,-74.013302
Gramercy Arts High School,40.735494,-73.987659
NYC iSchool,40.7244,-74.004625
Manhattan Business Academy,40.742867,-74.002136
Business of Sports School,40.76337,-73.9906
Emma Lazarus High School for English Language Scholars,40.716553,-73.993092
"High School for Language and Diplomacy, The",40.735494,-73.987659
High School for Environmental Studies,40.767791,-73.987531
Institute for Collaborative Education (ICE),40.732447,-73.983031
Professional Performing Arts High School (PPAS),40.761448,-73.988019
Baruch College Campus High School,40.74193,-73.986521
N.Y.C. Lab School for Collaborative Studies,40.742129,-74.002198
School of the Future High School,40.738952,-73.985479
N.Y.C. Museum School,40.742129,-74.002198
Eleanor Roosevelt High School,40.770187,-73.953608
Millennium High School,40.704541,-74.011552
Landmark High School,40.742867,-74.002136
High School for Health Professions and Human Services,40.732447,-73.983031
Quest to Learn,40.742867,-74.002136
Leadership and Public Service High School,40.70873,-74.012332
Manhattan Academy for Arts & Language,40.746176,-73.981241
Murray Hill Academy,40.746176,-73.981241
Hudson High School of Learning Technologies,40.742867,-74.002136
International High School at Union Square,40.735494,-73.987659
Manhattan Village Academy,40.741497,-73.991512
Vanguard High School,40.765359,-73.960059
Manhattan International High School,40.765359,-73.960059
Stuyvesant High School,40.7177,-74.01399
High School of Economics and Finance,40.709196,-74.012022
Unity Center for Urban Technologies,40.746176,-73.981241
Urban Assembly Gateway School for Technology,40.76337,-73.9906
Talent Unlimited High School,40.765359,-73.960059
Murry Bergtraum High School for Business Careers,40.711442,-74.000851
Jacqueline Kennedy Onassis High School,40.757729,-73.983078
Repertory Company High School for Theatre Arts,40.755843,-73.984382
Union Square Academy for Health Sciences,40.735494,-73.987659
Harvest Collegiate High School,40.736518,-73.994858
Manhattan Bridges High School,40.76525,-73.993105
New Design High School,40.717349,-73.989596
Independence High School,40.768343,-73.989108
High School for Dual Language and Asian Studies,40.717349,-73.989596
Academy for Software Engineering (AFSE),40.735494,-73.987659
Liberty High School Academy for Newcomers,40.741657,-73.999307
Urban Assembly New York Harbor School,40.691214,-74.02024
City-As-School,40.729412,-74.006148
Richard R. Green High School of Teaching,40.705024,-74.012977
Harvey Milk High School,40.730038,-73.992632
"High School of Fashion Industries, The",40.745156,-73.996074
Humanities Preparatory Academy,40.742867,-74.002136
Chelsea Career and Technical Education High School,40.7244,-74.004625
Art and Design High School,40.75924,-73.967203
Life Sciences Secondary School,40.783625,-73.945637
West End Secondary School,40.772007,-73.987479
"Maxine Greene High School for Imaginative Inquiry, The",40.774351,-73.984753
"Urban Assembly School for Media Studies, The",40.774351,-73.984753
"Urban Assembly School for Green Careers, The",40.785803,-73.974614
"Global Learning Collaborative, The",40.785803,-73.974614
Wadleigh Secondary School for the Performing & Visual Arts,40.802207,-73.954142
Frank McCourt High School,40.785803,-73.974614
Beacon High School,40.761452,-73.995802
Fiorello H. LaGuardia High School of Music & Art and Performing Arts,40.773629,-73.985273
"High School for Law, Advocacy and Community Justice",40.774351,-73.984753
High School of Arts and Technology,40.774351,-73.984753
Manhattan / Hunter Science High School,40.774351,-73.984753
Special Music School,40.774351,-73.984753
Frederick Douglass Academy II Secondary School,40.802207,-73.954142
Esperanza Preparatory Academy,40.79307,-73.942303
Manhattan Center for Science and Mathematics,40.793856,-73.934028
Park East High School,40.790543,-73.944356
Central Park East High School,40.793763,-73.949381
Young Women's Leadership School (TYWLS),40.792741,-73.947428
"Heritage School, The",40.791881,-73.946558
Eagle Academy for Young Men of Harlem,40.817372,-73.947712
"Urban Assembly School for Global Commerce, The",40.807383,-73.939433
Mott Hall High School,40.817372,-73.947712
Columbia Secondary School,40.810431,-73.955809
Urban Assembly School for the Performing Arts,40.815256,-73.955325
Frederick Douglass Academy,40.824319,-73.93712
Thurgood Marshall Academy for Learning and Social Change,40.815449,-73.944061
"High School for Math, Science and Engineering at City College (HSMSE)",40.82074,-73.949097
Inwood Early College for Health and Information Technologies,40.866053,-73.924835
City College Academy of the Arts,40.86079,-73.930672
Community Health Academy of the Heights,40.833687,-73.942072
Washington Heights Expeditionary Learning School (WHEELS),40.848908,-73.930948
High School for Excellence and Innovation,40.866053,-73.924835
"College Academy, The",40.855855,-73.92712
High School for Media and Communications,40.855855,-73.92712
High School for Law and Public Service,40.855855,-73.92712
High School for Health Careers and Sciences,40.855855,-73.92712
A. Philip Randolph Campus High School,40.818188,-73.950356
Gregorio Luperon High School for Science and Mathematics,40.838167,-73.938642
South Bronx Preparatory: A College Board School,40.813983,-73.920782
"Laboratory School of Finance and Technology, The",40.813983,-73.920782
"H.E.R.O. High (Health, Education, and Research Occupations High School)",40.810803,-73.907015
International Community High School,40.81004,-73.917792
Community School for Social Justice,40.815938,-73.930386
Mott Haven Village Preparatory High School,40.81825,-73.91103
University Heights Secondary School,40.81825,-73.91103
Hostos-Lincoln Academy of Science,40.815498,-73.91224
Bronx Design and Construction Academy,40.818232,-73.919867
Bronx Leadership Academy II High School,40.82231,-73.923829
Careers in Sports High School,40.82231,-73.923829
"Urban Assembly Bronx Academy of Letters, The",40.813641,-73.925313
Alfred E. Smith Career and Technical Education High School,40.818232,-73.919867
Walkabout Bronx High School,40.82231,-73.923829
Health Opportunities High School,40.815938,-73.930386
Bronx Studio School for Writers and Artists,40.820579,-73.893128
Women's Academy of Excellence,40.814833,-73.85658
Renaissance High School for Musical Theater and the Arts,40.840702,-73.838545
Millennium Art Academy,40.82229,-73.856167
Pelham Lab High School,40.840702,-73.838545
Schuylerville Preparatory High School,40.840702,-73.838545
Bronx River High School,40.840702,-73.838545
"Archimedes Academy for Math, Science and Technology Applications",40.814833,-73.85658
Antonia Pantoja Preparatory Academy: A College Board School,40.82229,-73.856167
Herbert H. Lehman High School,40.840702,-73.838545
Bronx Bridges High School,40.82229,-73.856167
Gotham Collaborative High School,40.82229,-73.856167
Longwood Preparatory Academy,40.817512,-73.898212
Bronx Arena High School,40.821193,-73.881124
Westchester Square Academy,40.840702,-73.838545
School for Tourism and Hospitality,40.821675,-73.903546
Bronx Compass High School,40.82229,-73.856167
Bronx Collegiate Academy,40.840422,-73.91091
Eagle Academy for Young Men,40.844958,-73.89705
"Urban Assembly School for Applied Math and Science, The",40.839244,-73.901316
Eximius College Preparatory Academy: A College Board School,40.833665,-73.902499
Mott Hall Bronx High School,40.839244,-73.901316
Bronx Center for Science and Mathematics,40.833665,-73.902499
Validus Preparatory Academy,40.839244,-73.901316
Morris Academy for Collaborative Studies,40.827642,-73.904473
Bronx Early College Academy for Teaching & Learning,40.828696,-73.917668
Comprehensive Model School Project M.S. 327,40.842495,-73.916082
Dreamyard Preparatory School,40.840422,-73.91091
New Directions Secondary School,40.840422,-73.91091
Academy for Language and Technology,40.849532,-73.916077
Bronx International High School,40.827642,-73.904473
School for Excellence,40.827642,-73.904473
Bronx High School of Business,40.840422,-73.91091
Bronx High School for Medical Science,40.840422,-73.91091
"Bronx School for Law, Government and Justice",40.827607,-73.918681
Frederick Douglass Academy III Secondary School,40.833511,-73.90449
Bronx Leadership Academy High School,40.843588,-73.903236
High School for Violin and Dance,40.827642,-73.904473
Claremont International High School,40.840422,-73.91091
Young Women's Leadership School of the Bronx (TYWLS),40.848547,-73.908416
Riverdale / Kingsbridge Academy (Middle School / High School 141) (RKA),40.888338,-73.913486
Bronx Engineering and Technology Academy,40.877105,-73.912256
Theatre Arts Production Company School,40.854515,-73.896703
"Marie Curie School for Medicine, Nursing, and Health Professions, The",40.875916,-73.90111
West Bronx Academy for the Future,40.860043,-73.888267
Bronx Academy for Software Engineering (BASE),40.855698,-73.882715
Kingsbridge International High School,40.870293,-73.898309
Bronx School of Law and Finance,40.877105,-73.912256
