name,Latitude,Longitude
P.S. 034 Franklin D. Roosevelt,40.726473,-73.975181
P.S. 140 Nathan Straus,40.71925,-73.983056
P.S. 184m Shuang Wen,40.711549,-73.986542
P.S. 188 The Island School,40.719598,-73.977904
University Neighborhood Middle School,40.713684,-73.986336
School for Global Leaders,40.720581,-73.985645
East Side Community School,40.729589,-73.982555
"New Explorations into Science, Technology & Math",40.718895,-73.979308
Tompkins Square Middle School,40.724435,-73.981521
J.H.S. 104 Simon Baruch,40.736094,-73.980663
East Side Middle School,40.780706,-73.948553
Manhattan Academy of Technology/Jacob Riis,40.710729,-73.996631
Sun Yat Sen Middle School,40.716553,-73.993092
J.H.S. 167 Robert F. Wagner,40.77205,-73.958066
Yorkville East Middle School,40.770419,-73.951135
P.S./I.S. 217 Roosevelt Island,40.763894,-73.947916
Ella Baker School,40.765359,-73.960059
M.S. 255 Salk School of Science,40.735751,-73.981655
The Clinton School,40.736518,-73.992725
P.S. 164 Queens Valley,40.720924,-73.823362
Battery Park City School,40.70644,-74.017818
Hudson River Middle School,40.716668,-74.013542
M.S. 297 (75 Morton),40.730999,-74.007191
New York City Lab Middle School for Collaborative Studies,40.742129,-74.002198
The 47 American Sign Language & English Lower School,40.738548,-73.982455
Spruce Street School,40.711132,-74.005277
Institute for Collaborative Education,40.732447,-73.983031
Professional Performing Arts School,40.761448,-73.988019
School of the Future Middle and High School,40.738952,-73.985479
P.S. 076 A. Philip Randolph,40.806768,-73.951061
Quest to Learn,40.742867,-74.002136
"Ballet Tech, NYC Public School for Dance",40.738604,-73.989911
Lower Manhattan Community Middle School,40.70568,-74.013302
City Knoll Middle School,40.753091,-73.99764
J.H.S. 054 Booker T. Washington,40.800119,-73.962837
P.S. 149 Sojourner Truth,40.802136,-73.947828
P.S. 180 Hugo Newman,40.807843,-73.955569
The Riverside School for Makers and Artists,40.772883,-73.989609
M.S. 243 Center School,40.785287,-73.97343
Community Health Academy of the Heights,40.833687,-73.942072
M.S. M245 The Computer School,40.780822,-73.976855
M.S. M247 Dual Language Middle School,40.780822,-73.976855
M.S. 250 West Side Collaborative Middle School,40.795157,-73.973292
Lafayette Academy,40.791709,-73.970802
Mott Hall II,40.802917,-73.965613
Community Action School - MS 258,40.791709,-73.970802
West End Secondary School,40.772007,-73.987479
P.S. 333 Manhattan School for Children,40.791709,-73.970802
The Anderson School,40.780822,-73.976855
Hawtree Creek Middle School,40.675771,-73.816938
Wadleigh Secondary School for the Performing & Visual Arts,40.802207,-73.954142
West Prep Academy,40.799376,-73.965308
Special Music School,40.774919,-73.982745
Frederick Douglass Academy II Secondary School,40.802207,-73.954142
P.S. 007 Samuel Stern,40.801007,-73.939349
Tag Young Scholars,40.79307,-73.942303
James Weldon Johnson,40.797577,-73.94128
The Lexington Academy,40.791179,-73.947776
I.S. 313 School of Leadership Development,40.840878,-73.904754
P.S. 096 Joseph Lanzetta,40.800256,-73.937558
P.S. 108 Assemblyman Angelo Del Toro Educational Complex,40.795146,-73.948368
P.S. 171 Patrick Henry,40.792122,-73.951961
P.S. 206 Jose Celso Barbosa,40.797467,-73.930868
M.S. 224 Manhattan East School for Arts & Academics,40.785671,-73.942548
Esperanza Preparatory Academy,40.79307,-73.942303
Renaissance School of the Arts,40.797302,-73.936365
Young Women's Leadership School,40.792741,-73.947428
Isaac Newton Middle School for Math & Science,40.793856,-73.934028
Central Park East II,40.785258,-73.941526
P.S. 123 Mahalia Jackson,40.819767,-73.944433
Eagle Academy for Young Men of Harlem,40.817372,-73.947712
P.S. 161 Pedro Albizu Campos,40.81755,-73.953041
Urban Assembly Academy for Future Leaders,40.815256,-73.955325
All City Leadership Secondary School,40.69737,-73.913171
Columbia Secondary School,40.810431,-73.955809
M.S. 371,40.814637,-73.951912
Frederick Douglass Academy,40.824319,-73.93712
New Design Middle School,40.819481,-73.95761
Teachers College Community School,40.81242,-73.953315
Thurgood Marshall Academy for Learning and Social Change,40.815449,-73.944061
P.S. 018 Park Terrace,40.871278,-73.911516
Harold O. Levy School,40.866053,-73.924835
J.H.S. 143 Eleanor Roosevelt,40.848908,-73.930948
P.S./I.S. 187 Hudson Cliffs,40.856693,-73.937093
Hamilton Grange Middle School,40.820953,-73.951145
P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership,40.829815,-73.94475
The Mott Hall School,40.815458,-73.952908
Paula Hedbavny School,40.871245,-73.912141
City College Academy of the Arts,40.86079,-73.930672
Amistad Dual Language School,40.866706,-73.923948
M.S. 319 - Maria Teresa,40.839305,-73.936159
Middle School 322,40.86079,-73.930672
M.S. 324 - Patria Mirabal,40.839305,-73.936159
Community Math & Science Prep,40.836536,-73.937159
Washington Heights Expeditionary Learning School,40.848908,-73.930948
Harbor Heights,40.845469,-73.940468
Washington Heights Academy,40.865384,-73.92114
I.S. 528 Bea Fuller Rodgers School,40.85051,-73.934485
P.S. 5 Port Morris,40.813728,-73.908886
