,lat,long,geo_address,street_code,borough,address,geometry
100689,40.7265917,-73.9940313,"Bond Street, Manhattan Community Board 2, Manhattan, New York County, New York, 10012, United States",00689,Manhattan,0 BOND STREET,POINT (-73.9940313 40.7265917)
101370,40.73376695,-73.98884767011623,"Zero Irving, East 14th Street, Manhattan Community Board 3, Manhattan, New York County, New York, 10003, United States",01370,Manhattan,0 IRVING PLACE,POINT (-73.98884767011623 40.73376695)
110010,40.7355483,-73.9794969,"1st Avenue, Manhattan Community Board 6, Manhattan, New York County, New York, 10010, United States",10010,Manhattan,1 AVENUE,POINT (-73.9794969 40.7355483)
112740,40.7896239,-73.9598939,"Manhattan, New York County, New York, United States",12740,Manhattan,1 PARK,POINT (-73.9598939 40.7896239)
110015,40.7300533,-73.9920475,"Pret A Manger, 1, Astor Place, NoHo Historic District, Manhattan, New York County, New York, 10003, United States",10015,Manhattan,1 PLACE,POINT (-73.9920475 40.7300533)
101346,40.75297175,-73.97854231036098,"One Vanderbilt, 1, Vanderbilt Avenue, Manhattan Community Board 5, Manhattan, New York County, New York, 10017, United States",01346,Manhattan,1 VANDERBILT,POINT (-73.97854231036098 40.75297175)
110110,40.7484055,-73.9732509,"2nd Avenue, Manhattan Community Board 6, Manhattan, New York County, New York, 10158, United States",10110,Manhattan,2 AVENUE,POINT (-73.9732509 40.7484055)
110210,40.72835,-73.9876214,"Roasted NYC, 128, 2nd Avenue, Manhattan Community Board 3, Manhattan, New York County, New York, 10003, United States",10210,Manhattan,3 AVENUE,POINT (-73.98762139999999 40.72835)
110250,40.7896239,-73.9598939,"Manhattan, New York County, New York, United States",10250,Manhattan,3 PLACE,POINT (-73.9598939 40.7896239)
110350,40.75871345,-73.98829810966258,"Row NYC Hotel, 700, 8th Avenue, Manhattan Community Board 5, Manhattan, New York County, New York, 10036, United States",10350,Manhattan,4 AVENUE,POINT (-73.98829810966258 40.75871345)
110410,40.75871345,-73.98829810966258,"Row NYC Hotel, 700, 8th Avenue, Manhattan Community Board 5, Manhattan, New York County, New York, 10036, United States",10410,Manhattan,5 AVENUE,POINT (-73.98829810966258 40.75871345)
100066,40.7161816,-73.9974633,"NYPD 5 PCT, Elizabeth Street, Five Points, Manhattan, New York County, New York, 10012, United States",00066,Manhattan,5 PCT,POINT (-73.99746330000001 40.7161816)
101362,40.71571145,-73.99902838500432,"Five Points, Manhattan, New York County, New York, United States",01362,Manhattan,5 POINTS,POINT (-73.99902838500432 40.71571145)
100039,40.7484055,-73.9732509,"2nd Avenue, Manhattan Community Board 6, Manhattan, New York County, New York, 10158, United States",00039,Manhattan,6 1/2 AVENUE,POINT (-73.9732509 40.7484055)
110510,40.7613257,-73.9815958,"6½ Avenue, Manhattan Community Board 5, Manhattan, New York County, New York, 10112, United States",10510,Manhattan,6 AVENUE,POINT (-73.98159579999999 40.7613257)
100053,40.7340416,-74.0054536,"NYPD 6 PCT, West 10th Street, Manhattan Community Board 2, Manhattan, New York County, New York, 10014, United States",00053,Manhattan,6 PCT,POINT (-74.0054536 40.7340416)
110610,40.7367035,-74.0010309,"7th Avenue, Manhattan Community Board 2, Manhattan, New York County, New York, 10001, United States",10610,Manhattan,7 AVENUE,POINT (-74.0010309 40.7367035)
113530,40.7374172,-73.974504,"7, FDR Drive, Manhattan Community Board 6, Manhattan, New York County, New York, 10010, United States",13530,Manhattan,7 DRIVE,POINT (-73.974504 40.7374172)
100062,40.7163634,-73.9837197,"NYPD 7 PCT, Pitt Street, Manhattan Community Board 3, Manhattan, New York County, New York, 10002, United States",00062,Manhattan,7 PCT,POINT (-73.98371969999999 40.7163634)
110810,40.77982855,-73.94764031708115,"Avenue Church NYC, 1745, 1st Avenue, Manhattan Community Board 8, Manhattan, New York County, New York, 10128, United States",10810,Manhattan,8 AVENUE,POINT (-73.94764031708115 40.77982855)
113525,40.7478125,-73.9683571,"8, FDR Drive, Beekman, Tudor City, Manhattan, New York County, New York, 10158, United States",13525,Manhattan,8 DRIVE,POINT (-73.96835710000001 40.7478125)
110910,40.7538903,-73.9961681,"In Common NYC Cafe, 441, 9th Avenue, Manhattan Community Board 4, Manhattan, New York County, New York, 10019, United States",10910,Manhattan,9 AVENUE,POINT (-73.99616810000001 40.7538903)
100046,40.7248218,-73.9779373,"NYPD 9 PCT, East 8th Street, Alphabet City, East Village, Manhattan, New York County, New York, 10009, United States",00046,Manhattan,9 PCT,POINT (-73.97793729999999 40.7248218)
111010,40.8147102,-73.93927818207379,"NYC Health + Hospitals/Harlem, 506, Malcolm X Boulevard, Harlem, Manhattan, New York County, New York, 10037, United States",11010,Manhattan,10 AVENUE,POINT (-73.93927818207379 40.8147102)
101439,40.7021194,-74.0138179,"Peter Minuit Plaza, Whitehall, Financial District, Manhattan, New York County, New York, 10004, United States",01439,Manhattan,10 MINUIT PLAZA,POINT (-74.01381790000001 40.7021194)
100051,40.7426863,-73.9983835,"NYPD 10 PCT, 226, West 20th Street, Manhattan Community Board 4, Manhattan, New York County, New York, 10011, United States",00051,Manhattan,10 PCT,POINT (-73.9983835 40.7426863)
111110,40.7896239,-73.9598939,"Manhattan, New York County, New York, United States",11110,Manhattan,11 AVENUE,POINT (-73.9598939 40.7896239)
111112,40.8178841,-73.9604648,"12th Avenue, Morningside Heights, Manhattan, New York County, New York, 10027, United States",11112,Manhattan,12 AVENUE,POINT (-73.9604648 40.8178841)
100061,40.7567621,-73.9707859,"NYPD 17 PCT, 167, East 51st Street, Beekman, Manhattan Community Board 6, Manhattan, New York County, New York, 10022, United States",00061,Manhattan,17 PCT,POINT (-73.9707859 40.7567621)
100056,40.7670729,-73.9638697,"NYPD 19 PCT, East 67th Street, Manhattan Community Board 8, Manhattan, New York County, New York, 10065, United States",00056,Manhattan,19 PCT,POINT (-73.9638697 40.7670729)
100064,40.7841202,-73.9750749,"NYPD 20 PCT, West 82nd Street, Manhattan Community Board 7, Manhattan, New York County, New York, 10024, United States",00064,Manhattan,20 PCT,POINT (-73.9750749 40.7841202)
100063,40.81469,-73.95653594153396,"NYPD 26 PCT, 520, West 126th Street, Manhattanville, Manhattan, New York County, New York, 10027, United States",00063,Manhattan,26 PCT,POINT (-73.95653594153396 40.81469)
100071,40.8088317,-73.95253129795736,"NYPD 28 PCT, 2271, West 123rd Street, Manhattan Community Board 10, Manhattan, New York County, New York, 10027, United States",00071,Manhattan,28 PCT,POINT (-73.95253129795736 40.8088317)
100045,40.8286111,-73.9438889,"NYPD 30 PCT, West 151st Street, Manhattan Community Board 9, Manhattan, New York County, New York, 10031, United States",00045,Manhattan,30 PCT,POINT (-73.9438889 40.8286111)
100057,40.8157476,-73.9453969,"NYPD 32 PCT, West 135th Street, Harlem, Manhattan, New York County, New York, 10030, United States",00057,Manhattan,32 PCT,POINT (-73.94539690000001 40.8157476)
100055,40.851527149999995,-73.93537316409075,"NYPD 34 PCT, 4295, Broadway, Hudson Heights, Manhattan, New York County, New York, 10033, United States",00055,Manhattan,34 PCT,POINT (-73.93537316409075 40.85152715)
197920,40.759458,-73.9606274,"Ed Koch Queensboro Bridge Lower Roadway, Roosevelt Island, Upper East Side, Manhattan, New York County, New York, 10155, United States",97920,Manhattan,59 STREET BR LOWER ROADWAY,POINT (-73.96062740000001 40.759458)
197540,40.780676125886856,-73.97149457684077,"65, 79th Street Transverse, Manhattan, New York County, New York, 10024, United States",97540,Manhattan,65 ST TRANSVERSE,POINT (-73.97149457684077 40.78067612588686)
127495,40.7805272185961,-73.97145684140335,"72, 79th Street Transverse, Manhattan, New York County, New York, 10024, United States",27495,Manhattan,72 ST TRANSVERSE,POINT (-73.97145684140335 40.7805272185961)
197560,40.780389279124314,-73.97139050361547,"79, 79th Street Transverse, Manhattan, New York County, New York, 10024, United States",97560,Manhattan,79 ST TRANSVERSE,POINT (-73.97139050361547 40.78038927912431)
197555,40.78028581469247,-73.97130800256524,"85, 79th Street Transverse, Manhattan, New York County, New York, 10024, United States",97555,Manhattan,85 ST TRANSVERSE,POINT (-73.97130800256524 40.78028581469247)
101413,40.812054599999996,-73.94836874345552,"Saint Nicholas Houses, Manhattan, New York County, New York, United States",01413,Manhattan,92 ST HOUSES,POINT (-73.94836874345552 40.8120546)
101414,40.812054599999996,-73.94836874345552,"Saint Nicholas Houses, Manhattan, New York County, New York, United States",01414,Manhattan,94 ST HOUSES,POINT (-73.94836874345552 40.8120546)
197550,40.780131134353034,-73.97112182463687,"96, 79th Street Transverse, Manhattan, New York County, New York, 10024, United States",97550,Manhattan,96 ST TRANSVERSE,POINT (-73.97112182463687 40.78013113435303)
116910,40.7540102,-73.9888897,"Complete Shredding Solutions A Data-struction Company, 200, West 39th Street, Manhattan Community Board 5, Manhattan, New York County, New York, 10018, United States",16910,Manhattan,200 STREET,POINT (-73.9888897 40.7540102)
101051,40.8660926,-73.9151755,"207th Street Yard, 3935, 10th Avenue, Manhattan Community Board 12, Manhattan, New York County, New York, 10034, United States",01051,Manhattan,207 ST YARD,POINT (-73.9151755 40.8660926)
113465,40.70538705,-74.01351590068569,"Evacuation Day Plaza, Whitehall, Financial District, Manhattan, New York County, New York, 10275, United States",13465,Manhattan,1783 EVACUATION DAY PLAZA,POINT (-74.01351590068569 40.70538705)
113940,40.711452699999995,-74.01267026823709,"9/11 Memorial & Museum, 180, Greenwich Street, Whitehall, Manhattan Community Board 1, Manhattan, New York County, New York, 10007, United States",13940,Manhattan,9/11 MEMORIAL MUSEUM,POINT (-74.01267026823709 40.7114527)
134990,40.7656194,-73.9842586,"West 55th Street, Clinton, Manhattan Community Board 4, Manhattan, New York County, New York, 10019, United States",34990,Manhattan,A AILEY PLACE,POINT (-73.9842586 40.7656194)
112110,40.7519538,-73.9969137,"A, 421, 8th Avenue, Manhattan Community Board 4, Manhattan, New York County, New York, 10001, United States",12110,Manhattan,A AVENUE,POINT (-73.99691369999999 40.7519538)
134470,40.7142137,-74.0035485,"Duane Street, Lower Manhattan, Manhattan Community Board 1, Manhattan, New York County, New York, 10013, United States",34470,Manhattan,A DWYER STREET,POINT (-74.00354849999999 40.7142137)
131490,40.7179031,-73.9761421,"Stanton Street, Lower East Side, Manhattan, New York County, New York, 10002, United States",31490,Manhattan,A NEW STREET,POINT (-73.9761421 40.7179031)
111595,40.80377155,-73.95246473306219,"A Philip Randolph Square, Manhattan Community Board 10, Manhattan, New York County, New York, United States",11595,Manhattan,A PHILIP RANDOLPH SQUARE,POINT (-73.95246473306219 40.80377155)
111315,40.80256045,-73.95529501573438,"A. Phillip Randolph Houses, Manhattan, New York County, New York, United States",11315,Manhattan,A PHILLIP RANDOLPH HOUSES,POINT (-73.95529501573438 40.80256045)
113520,40.785775,-73.9248394,"A Road, Manhattan Community Board 11, Manhattan, New York County, New York, 11102, United States",13520,Manhattan,A ROAD,POINT (-73.9248394 40.785775)
115385,40.8174781,-73.9514087469152,"Aaron Davis Hall, Convent Avenue, Manhattan Community Board 9, Manhattan, New York County, New York, 10031, United States",15385,Manhattan,AARON DAVIS HALL,POINT (-73.95140874691521 40.8174781)
112135,40.72999515,-73.98697675108093,"Abe Lebewohl Park, Manhattan Community Board 3, Manhattan, New York County, New York, 10003, United States",12135,Manhattan,ABE LEBEWOHL PARK,POINT (-73.98697675108093 40.72999515)
111210,40.7374889,-74.0048406,"8th Avenue, Manhattan Community Board 2, Manhattan, New York County, New York, 10014, United States",11210,Manhattan,ABINGDON SQUARE,POINT (-74.00484059999999 40.7374889)
115620,40.81219815,-73.9371517194237,"Abraham Lincoln Playground, East Harlem, Manhattan, New York County, New York, United States",15620,Manhattan,ABRAHAM LINCOLN HOUSES,POINT (-73.9371517194237 40.81219815)
112155,40.81219815,-73.9371517194237,"Abraham Lincoln Playground, East Harlem, Manhattan, New York County, New York, United States",12155,Manhattan,ABRAHAM LINCOLN PLAYGROUND,POINT (-73.9371517194237 40.81219815)
112595,40.817048400000004,-73.94090023812684,"Abyssinian Tot Lot, West 139th Street, Harlem, Manhattan, New York County, New York, 10030, United States",12595,Manhattan,ABYSSINIAN PLAYGROUND,POINT (-73.94090023812684 40.8170484)
101216,40.75493505,-74.00119822092584,"Bella Abzug Park, Chelsea District, Manhattan, New York County, New York, 10018, United States",01216,Manhattan,ABZUG PARK,POINT (-74.00119822092584 40.75493505)
111310,40.864403,-73.923767,"Academy Street, Manhattan Community Board 12, Manhattan, New York County, New York, 10034, United States",11310,Manhattan,ACADEMY STREET,POINT (-73.923767 40.864403)
100101,40.76592305,-73.98976355266078,"Public School 111 Adolph S. Ochs, 10th Avenue, Clinton, Manhattan Community Board 4, Manhattan, New York County, New York, 10019, United States",00101,Manhattan,ADOLPH OCHS SCHOOL,POINT (-73.98976355266078 40.76592305)
111410,40.877355,-73.910607,"Adrian Avenue, Marble Hill, Manhattan, New York County, New York, 10463, United States",11410,Manhattan,ADRIAN AVENUE,POINT (-73.910607 40.877355)
101230,40.728847200000004,-73.99808999194869,"Adrienne's Garden, LaGuardia Place, University Village, Manhattan Community Board 2, Manhattan, New York County, New York, 10012, United States",01230,Manhattan,ADRIENNE'S GARDEN,POINT (-73.99808999194869 40.7288472)
114190,40.7734181,-73.9773311,"Adventure Playground, Central Park West, Upper West Side, Manhattan, New York County, New York, 10023, United States",14190,Manhattan,ADVENTURE PLAYGROUND,POINT (-73.9773311 40.7734181)
113890,40.71452515,-74.0044656547183,"African Burial Ground National Monument, 290, Broadway, Manhattan Community Board 1, Manhattan, New York County, New York, 10007, United States",13890,Manhattan,AFRICAN BURIAL GROUND,POINT (-74.0044656547183 40.71452515)
120240,40.7144886,-74.0040874,"Elk Street, Lower Manhattan, Manhattan Community Board 1, Manhattan, New York County, New York, 10278, United States",20240,Manhattan,AFRICAN BURIAL GROUND WAY,POINT (-74.0040874 40.7144886)
111530,40.7147968,-73.98352223521677,"Ahearn Park, Manhattan Community Board 3, Manhattan, New York County, New York, United States",11530,Manhattan,AHEARN PARK,POINT (-73.98352223521677 40.7147968)
111610,40.742784400000005,-73.98707075,"Chester Alan Arthur, East 26th Street, Manhattan Community Board 5, Manhattan, New York County, New York, 10010, United States",11610,Manhattan,ALAN STREET,POINT (-73.98707075 40.74278440000001)
132750,40.7419443,-73.97838490526206,"Vincent F. Albano Jr. Playground, Manhattan Community Board 6, Manhattan, New York County, New York, United States",32750,Manhattan,ALBANO PARK,POINT (-73.97838490526206 40.7419443)
112485,40.7419443,-73.97838490526206,"Vincent F. Albano Jr. Playground, Manhattan Community Board 6, Manhattan, New York County, New York, United States",12485,Manhattan,ALBANO PLAYGROUND,POINT (-73.97838490526206 40.7419443)
111510,40.709819,-74.0146488,"Albany Street, Whitehall, Manhattan Community Board 1, Manhattan, New York County, New York, 10006, United States",11510,Manhattan,ALBANY STREET,POINT (-74.0146488 40.709819)
100172,40.722110099999995,-74.00607016150502,"Albert Capsouto Park, Manhattan Community Board 1, Manhattan, New York County, New York, 10012, United States",00172,Manhattan,ALBERT CAPSOUTO PARK,POINT (-74.00607016150502 40.72211009999999)
111350,40.728179850000004,-73.97686917502828,"Pedro Albizu Campos Plaza, Manhattan, New York County, New York, United States",11350,Manhattan,ALBIZU CAMPOS PLAZA,POINT (-73.97686917502828 40.72817985)
111220,40.728179850000004,-73.97686917502828,"Pedro Albizu Campos Plaza, Manhattan, New York County, New York, United States",11220,Manhattan,ALBIZU CAMPOS PLAZA    2,POINT (-73.97686917502828 40.72817985)
197000,40.8455004,-73.928763,"Alexander Hamilton Bridge, Cross Bronx Expressway, Manhattan Community Board 12, Manhattan, New York County, New York, 10040, United States",97000,Manhattan,ALEXANDER HAMILTON BRIDGE,POINT (-73.928763 40.8455004)
